05/11/2020                                                                         Dynamic List Display                                                                                1

Part Number / ESN Code By Supplier

	Vendor Number	Vendor Name	Material No	Material Description	Mat Group	PO Date Range	Plant	PO Net Order Value	PO Net Quantity
	10002419	Siemens Industry, Inc.	141-0520	T'STAT,2-POS,REMOTE BLB,30/110F	MRF	05/07/2020-05/08/2020	B100	           124.86	         3.000
	10002419	Siemens Industry, Inc.	141-0521	T'STAT,2-POS,REMOTEBLB,100/240	MRF	05/01/2020-05/07/2020	B100	           131.46	         3.000
	10002419	Siemens Industry, Inc.	141-0522	ELECTRIC SURFACE MOUNT THERMOSTAT	MRF	05/01/2020-05/07/2020	B100	         1,741.59	        37.000
	10002419	Siemens Industry, Inc.	141-0530	T'STAT,EL HIGH TEMP,25/215	MRF	05/08/2020-05/08/2020	B100	           349.86	         7.000
	10002419	Siemens Industry, Inc.	141-0574	AIR FLOW SWITCH .05-1.0 WC	MRF	05/01/2020-05/08/2020	B100	         1,896.00	        48.000
	10002419	Siemens Industry, Inc.	141-0575	AIR FLOW SWITCH.05/12 MAN REST	MRF	05/01/2020-05/08/2020	B100	         2,539.80	        60.000
	10002419	Siemens Industry, Inc.	141-337	COPPER WELL, 1/2" NPT X 2-3/8"LONG	MRF	05/01/2020-05/07/2020	B100	            37.88	         2.000
	10002419	Siemens Industry, Inc.	147-2000	POSITIONING RELAY,ONLY	MRF	05/01/2020-05/05/2020	B100	           857.50	        10.000
	10002419	Siemens Industry, Inc.	147-314	RELAY MOUNTING KIT,4" ACTUATOR	MRF	05/01/2020-05/01/2020	B100	            26.45	         1.000
	10002419	Siemens Industry, Inc.	171A-10300	0.5" 2W 0.4CV BALL VLV+GDE131.1P	OMI	05/04/2020-05/09/2020	B100	         1,754.64	        36.000
	10002419	Siemens Industry, Inc.	171A-10300S	0.5" 2W 0.4CV SS BALL VLV+GDE131.1P	OMI	05/04/2020-05/06/2020	B100	           983.79	        17.000
	10002419	Siemens Industry, Inc.	171A-10301	0.5" 2W 0.63CV BALL VLV+GDE131.1P	OMI	05/05/2020-05/09/2020	B100	           731.10	        15.000
	10002419	Siemens Industry, Inc.	171A-10301S	0.5" 2W 0.63CV SS BALL VLV+GDE131.1P	OMI	05/06/2020-05/06/2020	B100	           462.96	         8.000
	10002419	Siemens Industry, Inc.	171A-10302	0.5" 2W 1CV BALL VLV+GDE131.1P	OMI	05/05/2020-05/09/2020	B100	         3,840.72	        78.000
	10002419	Siemens Industry, Inc.	171A-10302S	0.5" 2W 1CV SS BALL VLV+GDE131.1P	OMI	05/06/2020-05/06/2020	B100	           353.28	         6.000
	10002419	Siemens Industry, Inc.	171A-10303	0.5" 2W 1.6CV BALL VLV+GDE131.1P	OMI	05/01/2020-05/08/2020	B100	         3,003.64	        61.000
	10002419	Siemens Industry, Inc.	171A-10303S	0.5" 2W 1.6CV SS BALL VLV+GDE131.1P	OMI	05/01/2020-05/06/2020	B100	           647.68	        11.000
	10002419	Siemens Industry, Inc.	171A-10304	0.5" 2W 2.5CV BALL VLV+GDE131.1P	OMI	05/05/2020-05/07/2020	B100	           502.50	        10.000
	10002419	Siemens Industry, Inc.	171A-10304S	0.5" 2W 2.5CV SS BALL VLV+GDE131.1P	OMI	05/06/2020-05/06/2020	B100	           415.66	         7.000
	10002419	Siemens Industry, Inc.	171A-10305	0.5" 2W 4CV BALL VLV+GDE131.1P	OMI	05/07/2020-05/07/2020	B100	            50.75	         1.000
	10002419	Siemens Industry, Inc.	171A-10305S	0.5" 2W 4CV SS BALL VLV+GDE131.1P	OMI	05/06/2020-05/06/2020	B100	           424.62	         7.000
	10002419	Siemens Industry, Inc.	171A-10307S	0.5" 2W 10CV SS BALL VLV+GDE131.1P	OMI	05/01/2020-05/01/2020	B100	           561.96	         9.000
	10002419	Siemens Industry, Inc.	171A-10308	0.75" 2W 6.3CV BALL VLV+GDE131.1P	OMI	05/07/2020-05/07/2020	B100	            62.94	         1.000
	10002419	Siemens Industry, Inc.	171A-10308S	0.75" 2W 6.3CV SS BALL VLV+GDE131.1P	OMI	05/06/2020-05/06/2020	B100	           214.71	         3.000
	10002419	Siemens Industry, Inc.	171A-10309S	0.75" 2W 10CV SS BALL VLV+GDE131.1P	OMI	05/06/2020-05/06/2020	B100	            72.08	         1.000
	10002419	Siemens Industry, Inc.	171A-10312	1" 2W 10CV BALL VLV+GDE131.1P	OMI	05/01/2020-05/01/2020	B100	           221.10	         3.000
	10002419	Siemens Industry, Inc.	171A-10316	1" 2W 63CV BALL VLV+GDE131.1P	OMI	05/01/2020-05/01/2020	B100	            82.41	         1.000
	10002419	Siemens Industry, Inc.	171A-10351	0.5" 3W 0.63CV BALL VLV+GDE131.1P	OMI	05/09/2020-05/09/2020	B100	            59.38	         1.000
	10002419	Siemens Industry, Inc.	171A-10352	0.5" 3W 1CV BALL VLV+GDE131.1P	OMI	05/09/2020-05/09/2020	B100	            59.89	         1.000
	10002419	Siemens Industry, Inc.	171A-10358	0.75" 3W 6.3CV BALL VLV+GDE131.1P	OMI	05/07/2020-05/07/2020	B100	           306.60	         4.000
	10002419	Siemens Industry, Inc.	171C-10300S	0.5" 2W 0.4CV SS BALL VLV+GDE161.1P	OMI	05/07/2020-05/07/2020	B100	         5,000.84	        59.000
	10002419	Siemens Industry, Inc.	171C-10301	0.5" 2W 0.63CV BALL VLV+GDE161.1P	OMI	05/01/2020-05/07/2020	B100	           429.42	         6.000
	10002419	Siemens Industry, Inc.	171C-10301S	0.5" 2W 0.63CV SS BALL VLV+GDE161.1P	OMI	05/07/2020-05/07/2020	B100	         1,610.44	        19.000
	10002419	Siemens Industry, Inc.	171C-10302	0.5" 2W 1CV BALL VLV+GDE161.1P	OMI	05/07/2020-05/07/2020	B100	           720.80	        10.000
	10002419	Siemens Industry, Inc.	171C-10302S	0.5" 2W 1CV SS BALL VLV+GDE161.1P	OMI	05/07/2020-05/07/2020	B100	           767.61	         9.000
	10002419	Siemens Industry, Inc.	171C-10303	0.5" 2W 1.6CV BALL VLV+GDE161.1P	OMI	05/07/2020-05/07/2020	B100	           504.56	         7.000
	10002419	Siemens Industry, Inc.	171C-10303S	0.5" 2W 1.6CV SS BALL VLV+GDE161.1P	OMI	05/07/2020-05/07/2020	B100	         1,364.64	        16.000
	10002419	Siemens Industry, Inc.	171C-10304	0.5" 2W 2.5CV BALL VLV+GDE161.1P	OMI	05/07/2020-05/07/2020	B100	            73.61	         1.000
	10002419	Siemens Industry, Inc.	171C-10304S	0.5" 2W 2.5CV SS BALL VLV+GDE161.1P	OMI	05/07/2020-05/07/2020	B100	           343.08	         4.000
	10002419	Siemens Industry, Inc.	171C-10305S	0.5" 2W 4CV SS BALL VLV+GDE161.1P	OMI	05/07/2020-05/07/2020	B100	            86.78	         1.000
	10002419	Siemens Industry, Inc.	171C-10307S	0.5" 2W 10CV SS BALL VLV+GDE161.1P	OMI	05/01/2020-05/01/2020	B100	         2,207.75	        25.000
	10002419	Siemens Industry, Inc.	171C-10308S	0.75" 2W 6.3CV SS BALL VLV+GDE161.1P	OMI	05/04/2020-05/07/2020	B100	           650.23	         7.000
	10002419	Siemens Industry, Inc.	171C-10309S	0.75" 2W 10CV SS BALL VLV+GDE161.1P	OMI	05/04/2020-05/04/2020	B100	           378.64	         4.000
	10002419	Siemens Industry, Inc.	171C-10312S	1" 2W 10CV SS BALL VLV+GDE161.1P	OMI	05/04/2020-05/07/2020	B100	           313.68	         3.000
	10002419	Siemens Industry, Inc.	171C-10317S	1.25" 2W 16CV SS BALL VLV+GDE161.1P	OMI	05/07/2020-05/07/2020	B100	           114.97	         1.000
	10002419	Siemens Industry, Inc.	171C-10318S	1.25" 2W 25CV SS BALL VLV+GDE161.1P	OMI	05/04/2020-05/04/2020	B100	           143.14	         1.000
	10002419	Siemens Industry, Inc.	171C-10350S	0.5" 3W 0.4CV SS BALL VLV+GDE161.1P	OMI	05/07/2020-05/07/2020	B100	           895.50	         9.000
	10002419	Siemens Industry, Inc.	171C-10351S	0.5" 3W 0.63CV SS BALL VLV+GDE161.1P	OMI	05/07/2020-05/07/2020	B100	           199.00	         2.000
	10002419	Siemens Industry, Inc.	171C-10352S	0.5" 3W 1CV SS BALL VLV+GDE161.1P	OMI	05/07/2020-05/07/2020	B100	           400.00	         4.000
	10002419	Siemens Industry, Inc.	171C-10353S	0.5" 3W 1.6CV SS BALL VLV+GDE161.1P	OMI	05/07/2020-05/07/2020	B100	           300.00	         3.000
	10002419	Siemens Industry, Inc.	171C-10355	0.5" 3W 4CV BALL VLV+GDE161.1P	OMI	05/09/2020-05/09/2020	B100	            91.35	         1.000
	10002419	Siemens Industry, Inc.	171C-10600-0.5-0.8	1/2" 6W BV Cv1=0.5 Cv2=0.8+0-10V NSR act	OMI	05/01/2020-05/01/2020	B100	        17,695.80	       108.000
	10002419	Siemens Industry, Inc.	171C-10600-0.5-1.2	1/2" 6W BV Cv1=0.5 Cv2=1.2+0-10V NSR act	OMI	05/02/2020-05/02/2020	B100	           163.85	         1.000
	10002419	Siemens Industry, Inc.	171C-10600-0.8-0.8	1/2" 6W BV Cv1=0.8 Cv2=0.8+0-10V NSR act	OMI	05/01/2020-05/01/2020	B100	         2,621.60	        16.000
	10002419	Siemens Industry, Inc.	171C-10600-1.2-1.2	1/2" 6W BV Cv1=1.2 Cv2=1.2+0-10V NSR act	OMI	05/01/2020-05/08/2020	B100	        21,955.90	       134.000
	10002419	Siemens Industry, Inc.	171C-10601-0.8-4.7	3/4" 6W BV Cv1=0.8 Cv2=4.7+0-10V NSR act	OMI	05/01/2020-05/01/2020	B100	           200.26	         1.000
	10002419	Siemens Industry, Inc.	171C-10601-1.5-2.9	3/4" 6W BV Cv1=1.5 Cv2=2.9+0-10V NSR act	OMI	05/01/2020-05/01/2020	B100	           200.26	         1.000
	10002419	Siemens Industry, Inc.	171C-10601-2.9-0.8	3/4" 6W BV Cv1=2.9 Cv2=0.8+0-10V NSR act	OMI	05/01/2020-05/01/2020	B100	           200.26	         1.000
	10002419	Siemens Industry, Inc.	171C-10601-4.0-0.8	3/4" 6W BV Cv1=4.0 Cv2=0.8+0-10V NSR act	OMI	05/01/2020-05/01/2020	B100	           200.26	         1.000
	10002419	Siemens Industry, Inc.	171C-10601-4.7-0.8	3/4" 6W BV Cv1=4.7 Cv2=0.8+0-10V NSR act	OMI	05/01/2020-05/01/2020	B100	         1,201.56	         6.000
	10002419	Siemens Industry, Inc.	171D-10322S	1.5" 2W 25CV SS BALL VLV+GLB161.1P	OMI	05/04/2020-05/04/2020	B100	           146.70	         1.000
	10002419	Siemens Industry, Inc.	171D-10327S	2" 2W 40CV SS BALL VLV+GLB161.1P	OMI	05/07/2020-05/07/2020	B100	           178.93	         1.000
	10002419	Siemens Industry, Inc.	171D-10328S	2" 2W 63CV SS BALL VLV+GLB161.1P	OMI	05/04/2020-05/07/2020	B100	           520.76	         2.000
	10002419	Siemens Industry, Inc.	171E-10312	1" 2W 10CV BALL VLV+GMA121.1P	OMI	05/05/2020-05/05/2020	B100	           118.44	         1.000
	10002419	Siemens Industry, Inc.	171E-10316	1" 2W 63CV BALL VLV+GMA121.1P	OMI	05/01/2020-05/01/2020	B100	         7,944.96	        64.000
	10002419	Siemens Industry, Inc.	171E-10330	2" 2W 160CV BALL VLV+GMA121.1P	OMI	05/08/2020-05/08/2020	B100	           285.13	         1.000
	10002419	Siemens Industry, Inc.	171E-10358S	0.75" 3W 6.3CV SS BALL VLV+GMA121.1P	OMI	05/10/2020-05/10/2020	B100	           122.61	         1.000
	10002419	Siemens Industry, Inc.	171E-10360	0.75" 3W 16CV BALL VLV+GMA121.1P	OMI	05/06/2020-05/06/2020	B100	         1,986.72	        16.000
	10002419	Siemens Industry, Inc.	171E-10361S	1" 3W 10CV SS BALL VLV+GMA121.1P	OMI	05/10/2020-05/10/2020	B100	           434.28	         3.000
	10002419	Siemens Industry, Inc.	171F-10352S	0.5" 3W 1CV SS BALL VLV+GMA131.1P	OMI	05/06/2020-05/06/2020	B100	           126.21	         1.000
	10002419	Siemens Industry, Inc.	171G-10312	1" 2W 10CV BALL VLV+GMA161.1P	OMI	05/02/2020-05/08/2020	B100	         1,939.34	        13.000
	10002419	Siemens Industry, Inc.	171G-10312S	1" 2W 10CV SS BALL VLV+GMA161.1P	OMI	05/06/2020-05/06/2020	B100	           307.56	         2.000
	10002419	Siemens Industry, Inc.	171G-10313	1" 2W 16CV BALL VLV+GMA161.1P	OMI	05/04/2020-05/04/2020	B100	           301.82	         2.000
	10002419	Siemens Industry, Inc.	171G-10317	1.25" 2W 16CV BALL VLV+GMA161.1P	OMI	05/04/2020-05/04/2020	B100	           157.15	         1.000
	10002419	Siemens Industry, Inc.	171G-10317S	1.25" 2W 16CV SS BALL VLV+GMA161.1P	OMI	05/06/2020-05/06/2020	B100	           324.06	         2.000
	10002419	Siemens Industry, Inc.	171G-10318	1.25" 2W 25CV BALL VLV+GMA161.1P	OMI	05/01/2020-05/01/2020	B100	           360.80	         2.000
	10002419	Siemens Industry, Inc.	171G-10322	1.5" 2W 25CV BALL VLV+GMA161.1P	OMI	05/01/2020-05/01/2020	B100	           367.78	         2.000
	10002419	Siemens Industry, Inc.	171G-10322S	1.5" 2W 25CV SS BALL VLV+GMA161.1P	OMI	05/06/2020-05/06/2020	B100	           758.32	         4.000
	10002419	Siemens Industry, Inc.	171G-10323	1.5" 2W 40CV BALL VLV+GMA161.1P	OMI	05/04/2020-05/04/2020	B100	           184.91	         1.000
	10002419	Siemens Industry, Inc.	171G-10327	2" 2W 40CV BALL VLV+GMA161.1P	OMI	05/04/2020-05/04/2020	B100	           247.85	         1.000
	10002419	Siemens Industry, Inc.	171G-10327S	2" 2W 40CV SS BALL VLV+GMA161.1P	OMI	05/06/2020-05/06/2020	B100	         2,299.77	         9.000
	10002419	Siemens Industry, Inc.	171G-10328	2" 2W 63CV BALL VLV+GMA161.1P	OMI	05/04/2020-05/04/2020	B100	           249.35	         1.000
	10002419	Siemens Industry, Inc.	171G-10328S	2" 2W 63CV SS BALL VLV+GMA161.1P	OMI	05/06/2020-05/06/2020	B100	           257.08	         1.000
	10002419	Siemens Industry, Inc.	171G-10329	2" 2W 100CV BALL VLV+GMA161.1P	OMI	05/04/2020-05/04/2020	B100	           614.66	         2.000
	10002419	Siemens Industry, Inc.	171G-10351S	0.5" 3W 0.63CV SS BALL VLV+GMA161.1P	OMI	05/10/2020-05/10/2020	B100	         2,056.64	        16.000
	10002419	Siemens Industry, Inc.	171G-10352	0.5" 3W 1CV BALL VLV+GMA161.1P	OMI	05/01/2020-05/01/2020	B100	           126.73	         1.000
	10002419	Siemens Industry, Inc.	171G-10355S	0.5" 3W 4CV SS BALL VLV+GMA161.1P	OMI	05/06/2020-05/06/2020	B100	           132.67	         1.000
	10002419	Siemens Industry, Inc.	171G-10356	0.5" 3W 6.3CV BALL VLV+GMA161.1P	OMI	05/06/2020-05/06/2020	B100	           128.79	         1.000
	10002419	Siemens Industry, Inc.	171G-10358S	0.75" 3W 6.3CV SS BALL VLV+GMA161.1P	OMI	05/06/2020-05/10/2020	B100	         1,429.60	        10.000
	10002419	Siemens Industry, Inc.	171G-10361	1" 3W 10CV BALL VLV+GMA161.1P	OMI	05/07/2020-05/07/2020	B100	           172.08	         1.000
	10002419	Siemens Industry, Inc.	171G-10361S	1" 3W 10CV SS BALL VLV+GMA161.1P	OMI	05/01/2020-05/10/2020	B100	         2,627.40	        15.000
	10002419	Siemens Industry, Inc.	171G-10364S	1.25" 3W 16CV SS BALL VLV+GMA161.1P	OMI	05/10/2020-05/10/2020	B100	           204.52	         1.000
	10002419	Siemens Industry, Inc.	171G-10365	1.25" 3W 25CV BALL VLV+GMA161.1P	OMI	05/01/2020-05/04/2020	B100	           483.74	         2.000
	10002419	Siemens Industry, Inc.	171G-10367	1.5" 3W 25CV BALL VLV+GMA161.1P	OMI	05/01/2020-05/07/2020	B100	           500.76	         2.000
	10002419	Siemens Industry, Inc.	171G-10370	2" 3W 40CV BALL VLV+GMA161.1P	OMI	05/01/2020-05/07/2020	B100	         1,004.61	         3.000
	10002419	Siemens Industry, Inc.	171G-10371	2" 3W 63CV BALL VLV+GMA161.1P	OMI	05/01/2020-05/01/2020	B100	           391.28	         1.000
	10002419	Siemens Industry, Inc.	171G-10372	2" 3W 100CV BALL VLV+GMA161.1P	OMI	05/05/2020-05/05/2020	B100	           405.70	         1.000
	10002419	Siemens Industry, Inc.	171H-10304	0.5" 2W 2.5CV BALL VLV+GQD121.1P	OMI	05/08/2020-05/08/2020	B100	            88.60	         1.000
	10002419	Siemens Industry, Inc.	171H-10306	0.5" 2W 6.3CV BALL VLV+GQD121.1P	OMI	05/04/2020-05/05/2020	B100	         1,075.68	        12.000
	10002419	Siemens Industry, Inc.	171H-10308	0.75" 2W 6.3CV BALL VLV+GQD121.1P	OMI	05/10/2020-05/10/2020	B100	         4,934.79	        49.000
	10002419	Siemens Industry, Inc.	171H-10311	0.75" 2W 25CV BALL VLV+GQD121.1P	OMI	05/06/2020-05/06/2020	B100	         4,273.50	        42.000
	10002419	Siemens Industry, Inc.	171H-10311S	0.75" 2W 25CV SS BALL VLV+GQD121.1P	OMI	05/06/2020-05/06/2020	B100	         1,267.32	        12.000
	10002419	Siemens Industry, Inc.	171J-10300S	0.5" 2W 0.4CV SS BALL VLV+GQD131.1P	OMI	05/01/2020-05/01/2020	B100	         5,036.22	        49.000
	10002419	Siemens Industry, Inc.	171J-10301S	0.5" 2W 0.63CV SS BALL VLV+GQD131.1P	OMI	05/01/2020-05/01/2020	B100	           308.34	         3.000
	10002419	Siemens Industry, Inc.	171J-10302S	0.5" 2W 1CV SS BALL VLV+GQD131.1P	OMI	05/01/2020-05/01/2020	B100	           624.36	         6.000
	10002419	Siemens Industry, Inc.	171J-10303S	0.5" 2W 1.6CV SS BALL VLV+GQD131.1P	OMI	05/01/2020-05/01/2020	B100	           624.36	         6.000
	10002419	Siemens Industry, Inc.	171J-10304S	0.5" 2W 2.5CV SS BALL VLV+GQD131.1P	OMI	05/01/2020-05/01/2020	B100	           735.70	         7.000
	10002419	Siemens Industry, Inc.	171J-10305S	0.5" 2W 4CV SS BALL VLV+GQD131.1P	OMI	05/01/2020-05/01/2020	B100	           316.83	         3.000
	10002419	Siemens Industry, Inc.	171K-10302S	0.5" 2W 1CV SS BALL VLV+GQD151.1P	OMI	05/07/2020-05/07/2020	B100	           222.04	         2.000
	10002419	Siemens Industry, Inc.	171K-10303	0.5" 2W 1.6CV BALL VLV+GQD151.1P	OMI	05/05/2020-05/07/2020	B100	           857.20	         8.000
	10002419	Siemens Industry, Inc.	171K-10304	0.5" 2W 2.5CV BALL VLV+GQD151.1P	OMI	05/07/2020-05/07/2020	B100	           107.68	         1.000
	10002419	Siemens Industry, Inc.	171K-10305	0.5" 2W 4CV BALL VLV+GQD151.1P	OMI	05/07/2020-05/07/2020	B100	           218.44	         2.000
	10002419	Siemens Industry, Inc.	171K-10308	0.75" 2W 6.3CV BALL VLV+GQD151.1P	OMI	05/02/2020-05/07/2020	B100	         1,698.62	        14.000
	10002419	Siemens Industry, Inc.	171K-10308S	0.75" 2W 6.3CV SS BALL VLV+GQD151.1P	OMI	05/06/2020-05/06/2020	B100	           250.36	         2.000
	10002419	Siemens Industry, Inc.	171K-10309	0.75" 2W 10CV BALL VLV+GQD151.1P	OMI	05/04/2020-05/07/2020	B100	           243.68	         2.000
	10002419	Siemens Industry, Inc.	171K-10309S	0.75" 2W 10CV SS BALL VLV+GQD151.1P	OMI	05/05/2020-05/05/2020	B100	           125.70	         1.000
	10002419	Siemens Industry, Inc.	171L-10311	0.75" 2W 25CV BALL VLV+120V 2P SR NO	OMI	05/01/2020-05/01/2020	B100	           109.66	         1.000
	10002419	Siemens Industry, Inc.	171N-10311S	0.75" 2W 25CV SS BALL+24V 2P SR NO SW	OMI	05/06/2020-05/06/2020	B100	           260.72	         2.000
	10002419	Siemens Industry, Inc.	172E-10316	1" 2W 63CV BALL VLV+GMA121.1P NC	OMI	05/01/2020-05/08/2020	B100	         8,565.66	        69.000
	10002419	Siemens Industry, Inc.	172E-10321	1.25" 2W 100CV BALL VLV+GMA121.1P NC	OMI	05/07/2020-05/07/2020	B100	           436.17	         3.000
	10002419	Siemens Industry, Inc.	172E-10326	1.5" 2W 160CV BALL VLV+GMA121.1P NC	OMI	05/01/2020-05/07/2020	B100	         5,662.08	        36.000
	10002419	Siemens Industry, Inc.	172G-10317	1.25" 2W 16CV BALL VLV+GMA161.1P NC	OMI	05/07/2020-05/08/2020	B100	           314.30	         2.000
	10002419	Siemens Industry, Inc.	172G-10318	1.25" 2W 25CV BALL VLV+GMA161.1P NC	OMI	05/02/2020-05/02/2020	B100	           180.40	         1.000
	10002419	Siemens Industry, Inc.	172G-10319	1.25" 2W 40CV BALL VLV+GMA161.1P NC	OMI	05/01/2020-05/01/2020	B100	           181.16	         1.000
	10002419	Siemens Industry, Inc.	172G-10319S	1.25" 2W 40CV SS BALL VLV+GMA161.1P NC	OMI	05/01/2020-05/01/2020	B100	           373.50	         2.000
	10002419	Siemens Industry, Inc.	172G-10323	1.5" 2W 40CV BALL VLV+GMA161.1P NC	OMI	05/07/2020-05/07/2020	B100	           184.91	         1.000
	10002419	Siemens Industry, Inc.	172G-10323S	1.5" 2W 40CV SS BALL VLV+GMA161.1P NC	OMI	05/01/2020-05/01/2020	B100	           190.62	         1.000
	10002419	Siemens Industry, Inc.	172G-10324S	1.5" 2W 63CV SS BALL VLV+GMA161.1P NC	OMI	05/01/2020-05/01/2020	B100	           390.52	         2.000
	10002419	Siemens Industry, Inc.	172G-10325S	1.5" 2W 100CV SS BALL VLV+GMA161.1P NC	OMI	05/01/2020-05/01/2020	B100	           196.80	         1.000
	10002419	Siemens Industry, Inc.	172G-10327	2" 2W 40CV BALL VLV+GMA161.1P NC	OMI	05/01/2020-05/08/2020	B100	         2,726.35	        11.000
	10002419	Siemens Industry, Inc.	172G-10327S	2" 2W 40CV SS BALL VLV+GMA161.1P NC	OMI	05/06/2020-05/06/2020	B100	           511.06	         2.000
	10002419	Siemens Industry, Inc.	172H-10301	0.5" 2W 0.63CV BALL VLV+GQD121.1P NC	OMI	05/04/2020-05/04/2020	B100	           261.24	         3.000
	10002419	Siemens Industry, Inc.	172H-10306	0.5" 2W 6.3CV BALL VLV+GQD121.1P NC	OMI	05/06/2020-05/06/2020	B100	            89.64	         1.000
	10002419	Siemens Industry, Inc.	172H-10308	0.75" 2W 6.3CV BALL VLV+GQD121.1P NC	OMI	05/10/2020-05/10/2020	B100	         4,531.95	        45.000
	10002419	Siemens Industry, Inc.	172H-10311	0.75" 2W 25CV BALL VLV+GQD121.1P NC	OMI	05/05/2020-05/07/2020	B100	         1,119.25	        11.000
	10002419	Siemens Industry, Inc.	172J-10303S	0.5" 2W 1.6CV SS BALL VLV+GQD131.1P NC	OMI	05/01/2020-05/01/2020	B100	           104.06	         1.000
	10002419	Siemens Industry, Inc.	172J-10304S	0.5" 2W 2.5CV SS BALL VLV+GQD131.1P NC	OMI	05/01/2020-05/01/2020	B100	           315.30	         3.000
	10002419	Siemens Industry, Inc.	172J-10306S	0.5" 2W 6.3CV SS BALL VLV+GQD131.1P NC	OMI	05/01/2020-05/01/2020	B100	           212.26	         2.000
	10002419	Siemens Industry, Inc.	172K-10301	0.5" 2W 0.63CV BALL VLV+GQD151.1P NC	OMI	05/08/2020-05/08/2020	B100	           106.65	         1.000
	10002419	Siemens Industry, Inc.	172K-10305	0.5" 2W 4CV BALL VLV+GQD151.1P NC	OMI	05/07/2020-05/07/2020	B100	           109.22	         1.000
	10002419	Siemens Industry, Inc.	172K-10310	0.75" 2W 16CV BALL VLV+GQD151.1P NC	OMI	05/04/2020-05/04/2020	B100	           122.36	         1.000
	10002419	Siemens Industry, Inc.	172M-10316S	1" 2W 63CV SS BALL VLV+120V 2P SR NC	OMI	05/10/2020-05/10/2020	B100	           556.84	         4.000
	10002419	Siemens Industry, Inc.	172P-10316S	1" 2W 63CV SS BALL+24V 2P SR NC SW	OMI	05/05/2020-05/05/2020	B100	           154.09	         1.000
	10002419	Siemens Industry, Inc.	172P-10326S	1.5" 2W 160CV SS BALL+24V 2P SR NC SW	OMI	05/04/2020-05/04/2020	B100	           754.32	         4.000
